,imdb_rating,n_lines,n_directions,n_speak_char,Angela,Dwight,Jim,Kevin,Michael,Oscar,Pam,Phyllis,Ryan,Stanley,Kelly,Toby,Meredith,Darryl,Creed,Andy,Erin,Charles McDougall,Greg Daniels,Ken Kwapis,Ken Whittingham,Other_director,Paul Feig,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,Greg Daniels,Michael Schur,Other_writer,Paul Lieberstein,pos_score,neg_score
80,8.1,300,50,20,4.0,31.0,35.0,15.0,86.0,14.0,32.0,11.0,0.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.224,0.086
81,8.7,311,67,13,0.0,71.0,39.0,10.0,113.0,7.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,12.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.193,0.085
82,8.3,290,43,15,8.0,21.0,30.0,5.0,104.0,1.0,14.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0.203,0.078
83,8.4,267,37,18,6.0,12.0,26.0,13.0,87.0,11.0,38.0,3.0,0.0,7.0,6.0,1.0,2.0,0.0,1.0,14.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.166,0.074
84,8.3,309,55,21,3.0,17.0,35.0,10.0,78.0,1.0,65.0,2.0,11.0,4.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0.21,0.077
85,8.7,256,38,17,0.0,28.0,28.0,2.0,46.0,5.0,45.0,1.0,25.0,3.0,5.0,3.0,1.0,0.0,2.0,18.0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0.192,0.085
86,8.7,276,46,14,0.0,83.0,22.0,1.0,90.0,0.0,15.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0.196,0.094
87,9.1,288,21,18,2.0,25.0,28.0,1.0,76.0,0.0,33.0,1.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0.198,0.084
88,8.3,319,31,17,5.0,49.0,29.0,1.0,95.0,5.0,30.0,13.0,25.0,12.0,2.0,13.0,8.0,1.0,9.0,12.0,10.0,0,0,0,0,1,0,0,0,0,0,1,0,0.162,0.088
89,8.7,274,30,22,17.0,28.0,17.0,7.0,84.0,5.0,19.0,24.0,2.0,1.0,11.0,0.0,1.0,0.0,3.0,16.0,23.0,0,0,0,0,1,0,0,0,0,0,1,0,0.178,0.137
90,8.9,273,72,25,3.0,40.0,24.0,5.0,53.0,2.0,25.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,12.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0.186,0.082
91,8.7,332,124,21,5.0,19.0,39.0,13.0,88.0,9.0,27.0,7.0,1.0,11.0,9.0,1.0,4.0,0.0,6.0,36.0,7.0,0,0,0,0,1,0,0,0,0,0,0,1,0.158,0.082
92,8.2,268,37,21,3.0,32.0,19.0,1.0,71.0,7.0,24.0,2.0,5.0,2.0,3.0,26.0,6.0,15.0,4.0,7.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0.186,0.062
93,8.0,304,42,16,5.0,29.0,90.0,14.0,85.0,12.0,18.0,13.0,5.0,3.0,4.0,0.0,9.0,0.0,3.0,3.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0.155,0.081
94,9.3,552,83,33,12.0,84.0,56.0,30.0,129.0,9.0,70.0,3.0,3.0,7.0,3.0,3.0,6.0,0.0,0.0,33.0,10.0,0,0,0,0,0,1,0,0,0,0,1,0,0.195,0.086
95,7.7,353,41,19,0.0,50.0,14.0,17.0,121.0,18.0,5.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,1.0,57.0,7.0,0,0,0,0,1,0,0,0,0,0,1,0,0.166,0.128
96,8.6,315,84,17,5.0,30.0,58.0,6.0,83.0,6.0,58.0,2.0,8.0,1.0,10.0,15.0,4.0,0.0,1.0,9.0,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0.204,0.087
97,8.2,319,37,20,10.0,14.0,49.0,10.0,85.0,11.0,39.0,9.0,1.0,3.0,2.0,0.0,8.0,7.0,3.0,37.0,17.0,0,0,0,0,1,0,0,0,0,0,1,0,0.206,0.101
98,8.2,367,54,19,2.0,50.0,26.0,6.0,114.0,3.0,70.0,2.0,8.0,1.0,5.0,7.0,1.0,0.0,2.0,28.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0.196,0.101
99,8.6,247,55,18,6.0,30.0,47.0,11.0,67.0,8.0,12.0,5.0,1.0,6.0,1.0,0.0,4.0,0.0,2.0,24.0,15.0,0,1,0,0,0,0,0,0,0,0,1,0,0.142,0.119
100,8.2,267,46,27,0.0,26.0,37.0,4.0,70.0,18.0,12.0,7.0,18.0,4.0,0.0,0.0,1.0,0.0,1.0,14.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0.18,0.074
101,8.3,265,26,23,3.0,36.0,38.0,6.0,68.0,2.0,14.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,22.0,21.0,0,0,0,0,1,0,0,1,0,0,0,0,0.202,0.086
102,8.5,334,70,24,6.0,37.0,39.0,13.0,95.0,13.0,16.0,27.0,8.0,5.0,3.0,6.0,3.0,0.0,2.0,16.0,11.0,0,0,0,0,1,0,0,0,0,0,1,0,0.161,0.12
103,6.8,131,25,12,2.0,17.0,0.0,2.0,44.0,0.0,5.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.239,0.09
104,7.8,264,43,24,2.0,9.0,26.0,1.0,82.0,5.0,25.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,10.0,6.0,0,0,0,0,1,0,0,0,0,0,1,0,0.197,0.072
105,8.1,295,43,17,1.0,39.0,33.0,5.0,68.0,6.0,5.0,4.0,19.0,0.0,11.0,0.0,4.0,0.0,0.0,23.0,23.0,0,0,0,0,1,0,0,0,0,0,1,0,0.183,0.084
106,8.4,625,53,27,19.0,47.0,134.0,29.0,117.0,3.0,126.0,6.0,2.0,3.0,3.0,1.0,6.0,0.0,1.0,25.0,35.0,0,0,0,0,1,0,0,0,0,0,1,0,0.217,0.078
107,7.8,279,52,25,3.0,29.0,40.0,3.0,52.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,24.0,20.0,0,0,0,0,1,0,0,0,0,0,1,0,0.199,0.111
108,7.9,281,78,18,6.0,43.0,51.0,8.0,85.0,1.0,3.0,18.0,3.0,11.0,8.0,2.0,3.0,9.0,0.0,15.0,7.0,0,0,0,0,1,0,0,0,0,0,1,0,0.173,0.109
109,8.6,359,45,24,17.0,34.0,33.0,7.0,74.0,20.0,31.0,6.0,5.0,1.0,4.0,0.0,1.0,10.0,1.0,35.0,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0.238,0.075
110,7.9,267,63,20,5.0,16.0,8.0,20.0,46.0,6.0,28.0,3.0,5.0,0.0,5.0,3.0,9.0,3.0,0.0,25.0,49.0,0,0,0,0,1,0,0,0,0,0,1,0,0.186,0.097
111,8.0,328,64,19,3.0,45.0,37.0,8.0,85.0,9.0,27.0,4.0,4.0,2.0,28.0,0.0,0.0,4.0,1.0,3.0,9.0,0,0,0,0,1,0,0,0,0,0,1,0,0.169,0.063
112,8.2,308,62,19,0.0,38.0,14.0,0.0,92.0,1.0,42.0,0.0,4.0,3.0,7.0,0.0,1.0,26.0,2.0,30.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0.187,0.111
